2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named ticketElpiKeywordRelFk (length:22) was greater than 18 characters in length for relation TicketElpi of entity RelElpiTicketKeyword.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named keywordElpiTicketRelFk (length:22) was greater than 18 characters in length for relation KeywordElpi of entity RelElpiTicketKeyword.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named ticketElpiUserInChargeFk (length:24) was greater than 18 characters in length for relation UserElpi of entity TicketElpi.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named ticketElpiTicketTypeFk (length:22) was greater than 18 characters in length for relation TicketElpiType of entity TicketElpi.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named ticketElpiTicketStatusFk (length:24) was greater than 18 characters in length for relation TicketElpiStatus of entity TicketElpi.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [TableNameRW] Table name [INTERFACE] of entity Interface is a reserved word.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [FieldNameRW] Column name NAME of entity Interface is a reserved word.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [FieldNameRW] Column name MODE of entity InterfaceLog is a reserved word.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [IndexNameGT18] The index name PROD_FEATURE_CAT_DESC (length:21) was greater than 18 characters in length for entity ProductFeatureCategory.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [FieldNameGT30] Column name [PRODUCT_OFFER_ADJUSTMENT_TYPE_ID] of entity ProductOfferAdjustment is longer than 30 characters.
2015-07-17 01:42:27,660 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named PROD_PRODOFFER_PRODOFFER (length:24) was greater than 18 characters in length for relation ProductOffer of entity ProductProductOffer.
