2015-07-17 16:23:46,543 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  1] Services from file:/home/gildas/Outils/Elpi/hot-deploy/easyofbiz/servicedef/services.xml
2015-07-17 16:23:46,549 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 16] Services from file:/home/gildas/Outils/Elpi/hot-deploy/elpi/servicedef/services.xml
2015-07-17 16:23:46,556 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 10] Services from file:/home/gildas/Outils/Elpi/hot-deploy/frontend/servicedef/services.xml
2015-07-17 16:23:46,562 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 34] Services from file:/home/gildas/Outils/Elpi/hot-deploy/frontend/servicedef/services_import.xml
2015-07-17 16:23:46,564 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  9] Services from file:/home/gildas/Outils/Elpi/hot-deploy/frontend/servicedef/services_interface.xml
2015-07-17 16:23:46,565 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  7] Services from file:/home/gildas/Outils/Elpi/hot-deploy/frontend/servicedef/services_export.xml
2015-07-17 16:23:46,576 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/home/gildas/Outils/Elpi/framework/common/servicedef/secas_test.xml
2015-07-17 16:23:46,583 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 28] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/content/servicedef/secas.xml
2015-07-17 16:23:46,584 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/home/gildas/Outils/Elpi/framework/common/servicedef/secas_cdyne.xml
2015-07-17 16:23:46,584 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/party/servicedef/secas.xml
2015-07-17 16:23:46,585 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  3] Service ECA Rules from file:/home/gildas/Outils/Elpi/framework/service/servicedef/secas_test_se.xml
2015-07-17 16:23:46,587 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/workeffort/servicedef/secas.xml
2015-07-17 16:23:46,588 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 24] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/product/servicedef/secas.xml
2015-07-17 16:23:46,591 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/manufacturing/servicedef/secas.xml
2015-07-17 16:23:46,593 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 21] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/secas.xml
2015-07-17 16:23:46,593 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  2] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/product/servicedef/secas_olap.xml
2015-07-17 16:23:46,595 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  8] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/secas_payment.xml
2015-07-17 16:23:46,597 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  1] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/secas_olap.xml
2015-07-17 16:23:46,598 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/secas_ledger.xml
2015-07-17 16:23:46,598 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 23] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/product/servicedef/secas_shipment.xml
2015-07-17 16:23:46,602 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/marketing/servicedef/secas.xml
2015-07-17 16:23:46,606 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 76] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/order/servicedef/secas.xml
2015-07-17 16:23:46,607 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/home/gildas/Outils/Elpi/hot-deploy/frontend/servicedef/secas.xml
2015-07-17 16:23:46,609 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  6] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/accounting/servicedef/secas_invoice.xml
2015-07-17 16:23:46,609 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/home/gildas/Outils/Elpi/applications/commonext/servicedef/secas.xml
2015-07-17 16:23:46,610 |main                 |ServiceDispatcher             |I| Registering dispatcher: entity-default
2015-07-17 16:23:46,610 |main                 |ServiceContainer              |I| Created new dispatcher [entity-default] (main)
2015-07-17 16:23:46,630 |OFBiz-config-3       |EntityEcaUtil                 |I| Loaded [  4] Entity ECA definitions from /home/gildas/Outils/Elpi/applications/workeffort/entitydef/eecas.xml in loader main
2015-07-17 16:23:46,630 |OFBiz-config-1       |EntityEcaUtil                 |I| Loaded [  8] Entity ECA definitions from /home/gildas/Outils/Elpi/applications/product/entitydef/eecas.xml in loader main
2015-07-17 16:23:46,634 |OFBiz-config-0       |EntityEcaUtil                 |I| Loaded [  2] Entity ECA definitions from /home/gildas/Outils/Elpi/applications/accounting/entitydef/eecas.xml in loader main
2015-07-17 16:23:46,634 |OFBiz-config-1       |EntityEcaUtil                 |I| Loaded [  3] Entity ECA definitions from /home/gildas/Outils/Elpi/applications/order/entitydef/eecas.xml in loader main
2015-07-17 16:23:46,636 |OFBiz-config-2       |EntityEcaUtil                 |I| Loaded [  1] Entity ECA definitions from /home/gildas/Outils/Elpi/applications/content/entitydef/eecas.xml in loader main
2015-07-17 16:23:46,915 |main                 |CatalinaContainer             |I| createHost(StandardEngine[default-server], 0.0.0.0)
2015-07-17 16:23:46,947 |main                 |CatalinaContainer             |I| Creating connector for address='0.0.0.0' port='8009' protocol='ajp'
2015-07-17 16:23:47,064 |main                 |CatalinaContainer             |I| Creating connector for address='0.0.0.0' port='8080' protocol='http'
2015-07-17 16:23:47,089 |main                 |CatalinaContainer             |I| Creating connector for address='0.0.0.0' port='8443' protocol='https'
2015-07-17 16:23:47,095 |main                 |ContainerLoader               |I| Loaded component's container: catalina-container
2015-07-17 16:23:47,096 |main                 |ContainerLoader               |I| [Startup] Starting containers...
2015-07-17 16:23:47,096 |main                 |ContainerLoader               |I| Starting container component-container
2015-07-17 16:23:47,096 |main                 |ContainerLoader               |I| Started container component-container
2015-07-17 16:23:47,097 |main                 |ContainerLoader               |I| Starting container classloader-container
2015-07-17 16:23:47,097 |main                 |ContainerLoader               |I| Started container classloader-container
2015-07-17 16:23:47,097 |main                 |ContainerLoader               |I| Starting container naming-container
2015-07-17 16:23:47,102 |main                 |ContainerLoader               |I| Started container naming-container
2015-07-17 16:23:47,102 |main                 |ContainerLoader               |I| Starting container service-container
2015-07-17 16:23:47,102 |main                 |ContainerLoader               |I| Started container service-container
2015-07-17 16:23:47,102 |main                 |ContainerLoader               |I| Starting container rmi-dispatcher
2015-07-17 16:23:47,105 |main                 |ServiceDispatcher             |I| Registering dispatcher: RMIDispatcher
2015-07-17 16:23:47,105 |main                 |ServiceContainer              |I| Created new dispatcher [RMIDispatcher] (main)
2015-07-17 16:23:47,905 |main                 |ContainerLoader               |I| Started container rmi-dispatcher
2015-07-17 16:23:47,905 |main                 |ContainerLoader               |I| Starting container catalina-container
2015-07-17 16:23:48,367 |main                 |CatalinaContainer             |I| createContext(frontend)
